Years,D,J,F,M,A,M,J,J,A,S,O,N
1980,2.158991061251312,-0.10913408615133896,-1.5753707889981972,2.22331666288283,-0.08686118701551418,-2.4445205244221495,-0.06400429183995804,0.5838810298431403,-0.9633954329329082,-0.8416612390156302,-1.073950959098882,-0.5537540995501523
1981,0.34710730941749296,-0.4649341491668316,1.2839818987457818,0.40358453762974983,-1.6352080236662276,1.0268378717069142,0.933328621539994,1.1840657964876224,-0.530355996775117,-0.3454019100978999,-1.442150194733136,-1.3538270804186392
1982,0.7872112100955664,-0.9186108047462367,-1.600486658247676,0.8230128887112189,-0.4336326678717842,-1.1308641354419242,-1.6796564539013712,-0.40907414892744653,0.2820522242909813,-0.34312378157677725,-0.37222305904904807,-0.2386461204285784
1983,1.0912811141392762,1.5586188374231515,1.5094691786069485,0.4313261766292328,0.7648801424228217,0.7173340835722926,-0.13845146450297138,0.1048022515655252,0.3969061617996839,0.13281287646380313,-0.4119227511781911,0.3430822174560123
1984,-2.331642191511636,1.025103197831063,1.6650445079071359,-2.081669323930537,0.4023557315921599,1.216710385145415,1.0628202940618308,0.9135903092564137,0.3706547099673392,-2.0075067917463585,-2.192033055450424,-0.6785119943307181
1985,-1.0071830482500272,-2.861404806279068,1.4369855766983102,0.01563502074867983,-3.591644031578043,1.6718667359103108,-0.06419864918411766,-1.3248278470485355,0.19059845808728976,-2.025167842441368,-1.1592786153470385,-3.479315604100478
1986,-2.8043761763234327,0.8358410747038908,-0.5732167280749545,-3.4658042619385316,0.24447843733919578,-0.8765924095557646,-0.33429990025149414,-0.9950828430290601,1.1590159274418612,-1.7426874146847773,-2.3547216071050676,-2.973968354752568
1987,0.4123772623310104,0.48977974697324983,-0.5017022762827396,-0.4110018605573492,-0.1704755674273403,-0.7837888275940433,0.8362741876464027,-2.3417840989410252,-2.3023682150960467,-0.5884346552621527,0.09211560743920177,0.0017403774174555853
1988,-0.38245266857938326,-0.861102806036996,0.216239198739617,-0.9221095290363386,-1.2192291301081348,-0.4781121460836928,1.0603340485495878,1.7878600638568898,1.569260947519437,-0.06826831024892521,0.050621549732578375,-0.3719297929154889
1989,-0.4723254537439475,2.2044517758824203,-2.7957097471490657,-0.7450301976792624,2.430876543464602,-1.9687283737430878,0.7563964122928044,0.25859786069058405,-1.3180362124394396,-0.17753773562904382,-0.16789657433553315,1.8458799474139682
1990,-1.7774686287343737,-0.09324993558219613,2.5382788810099,-2.2612259580973295,0.07012513008687205,3.23205066151431,0.6786548872851799,-0.6138799577086858,-0.5531057256832353,0.6092405349385268,2.473281113160982,2.093989096654631
1991,1.4950682495769394,0.04462594998058789,0.5625916980360539,2.2192816500907453,-0.39885110246735533,-0.06408351851119776,-1.6902576712579682,-2.199382678140696,-0.3812906905856132,-0.9955681771676022,0.2727556710761998,0.736765006743366
1992,1.473253830279067,1.2059536878377541,-0.7020179867820289,1.0522586295162133,0.3792932123813316,-0.8868414906964251,0.061238206595040666,-3.521704593259944,-0.49092806121735233,0.4157735116152294,1.2938513751166056,-1.3500393698771733
1993,0.13385770530346558,1.1696776260718655,-0.1662123575469806,0.78318225930907,1.3980806986604057,-0.5190615711377913,-1.3553383218680826,-1.720883164493193,-0.3656993891305964,-1.0737572547445091,-1.318588989995361,-0.6648585852619123
1994,1.173022037217998,-2.1078287350825033,-1.3074986596545137,0.6791545708526094,-1.92154343798768,-0.8925004004492099,0.18183074054298973,-0.11552340060373727,-1.3108403354562053,0.8700387277456134,0.831305426748502,0.8923019550712326
1995,0.8807988967329159,0.3524478061693421,-0.12085453842056249,0.48945957240413773,-0.06614325238396401,-0.5684021158547216,-0.6988019620360232,-1.3528952348209817,-1.5698243707859802,-1.4768825081594161,1.2766851782037105,-0.3482513927910116
1996,-0.28905839715900383,-0.3014040608854199,1.023349255715396,-0.7493631442647939,-0.3008341728646092,1.2120229618804064,-0.12154084788543684,0.6612185991275689,1.1727563478579892,-0.7219780238988591,-0.10351701576306288,-1.9502594119405252
1997,1.0178160541337986,0.8727564396376954,-0.6763053387167158,1.6669468220092314,0.44589245565628466,-0.9965293426449022,-0.263277803994834,-0.9464826967742375,-1.7021829123203778,-1.2166780263791876,-0.49963009962284977,0.6962775389781102
1998,1.2879483375050431,0.42764263956345405,2.3482272015119143,0.44150292041600947,-0.0991263892278465,1.813231993193466,0.5631391211720114,1.126875387591019,0.8166095120615365,0.3572766312657417,0.5211071231901062,-2.0931228674729274
1999,-1.480289844673186,0.8983977538660008,1.947168988933836,-1.4183801126260147,0.7826582481156572,1.9448726453923562,0.47105513645652763,-0.1556770425122409,0.36619512802628557,1.115017063368197,0.5831041671502198,0.9598401130596083
2000,1.1069104222616595,2.7780614055469646,-0.5749822339062993,0.9470361158988775,3.090353904617744,-1.0816395759367023,-0.7100655728846538,0.12979464380383265,1.0941775754282097,0.46450705459522895,-0.44081422780228985,-0.5533114792417573
2001,-2.008415635487239,0.03683138355174953,-2.3024637319846604,-2.6097084880907566,-0.7697419391816751,-1.9998644750838306,-2.152586802047882,-0.2470680440568287,0.8489165346596457,0.017200686714954283,1.4490701022849215,0.19537392204829562
2002,0.3861936242137843,-0.1009612092612342,2.023326832367987,0.17633785661414958,-0.05153962629723108,1.8035466119455754,-0.4717933963891301,0.9186092705882172,0.3919825403196192,0.12655400283578008,-2.710779994523098,-2.9570513016463793
2003,-0.6573477123571426,-0.6018715219137981,-0.765752577130929,-1.5287465068853199,-1.3462802661469466,-1.0853002368884244,-0.29575738589635514,1.5660937339685648,-0.34338408440131846,1.0381713577964953,0.7091665662816906,0.29324106997176247
2004,1.4969023975742521,-1.3714740010740352,0.5074810384361447,0.9740483317443083,-1.63583552839023,-0.011637771923424994,-2.573047422528912,-0.5692745659394887,-1.7801435002027013,1.1547682327050062,1.4356307241831432,1.7326671494525105
2005,0.8975220212243282,-0.057295282007777004,1.3534199923095247,0.7374876621389416,-0.07741504144860045,1.2449795057113129,-1.2054978466633461,1.8409574458096043,-0.3338835472197589,1.190348440324166,1.4777840308158923,1.2670941944047016
2006,-0.4837723961556582,2.012125886630983,0.03793271194374669,-1.1130170011201796,1.6541936304847042,0.09700674967007515,1.9110946700497031,0.7892941881373889,0.517919388521742,-0.17936158262116375,-0.6176571281299221,1.580702442857956
2007,1.9288021880910653,1.3359274164761956,-1.071510199465602,0.7039266108495232,0.8022216693160199,-1.0758250541089767,0.4360840759922286,-0.930749677812523,-0.5864093649294663,0.8943056289198241,0.7376310836168607,-0.2714500332488421
2008,-0.48938623160040073,0.21435766628013625,0.5883612078674091,-0.5869675745902442,0.49111829932327666,0.21727036028368893,0.7278848495062448,2.440799162950178,0.9533900039174497,0.4346520058714025,2.0136730960781235,1.5015098638082476
2009,0.1940157167940733,0.9310477476516913,-0.6898941032645765,0.9287076664390832,0.4370121853407388,-0.01634671033679036,0.2811489307065206,-1.4164063990226443,-0.4815395978457935,0.032582206948948755,-2.3072618483028986,2.5494611599957913
2010,-1.0120508492226006,0.8106755115340856,0.16393880546198145,-1.254059248544396,-0.0069085581505048885,-0.17978358808938943,1.1819438031216971,1.9981447901520342,0.8651258037148317,-0.36428073611130124,1.3916392997075642,0.8732532356122771
2011,1.7797664089672303,-0.40723925448388704,-0.49011452287224955,2.630344997721244,-0.973043699323666,0.2997209500729734,-0.2692945114493168,1.2370212092534192,1.3829343304387354,0.5783137491174464,1.5593055365226458,0.888488048557597
2012,0.8352986824684788,2.5565492277036332,-0.6301570159907782,0.6861199262622104,2.071597027808284,-0.9414570844476746,0.8454663967773086,0.4821195147256767,1.9701167803656718,3.001143591737394,-0.14373568418383953,0.47320745490106053
2013,0.2643421091866022,-1.3953021884914998,0.650034016363319,0.8360138847000418,-1.5590167897626683,0.4186554427752785,-0.18377022773517065,0.5776033557979448,-0.843298779992247,1.1955751978553386,-0.506834090946957,-0.059053365933220275
2014,-1.6112444295426864,-0.8614066413100445,0.4944862349524055,-1.0373249362740686,-1.3363781664373353,0.8410446657644235,1.4643725461596533,1.4900997965437717,0.673704516892067,-0.1449566556958479,1.4397680965825477,-0.9489439270167864
2015,0.5242471218643137,0.8628423393075504,1.701052407826591,0.2294368718784643,0.48310226668220013,1.2361852933099104,-0.9518309501915884,-0.7137941477545232,1.3154638882197474,1.0772365946245648,-0.5110780446143053,2.0503689453496143
2016,1.9674633995785202,-0.2263750476053274,1.2465785039806807,1.3510693037426138,-1.4428263420391176,0.343247539658571,-0.0057357560106190975,1.4577396268972513,-0.5325532041934371,0.5399250981755603,-2.233490026576657,1.3691776458904332
2017,-0.8420580211367938,1.250188576348117,0.6452852568984312,-0.6454943268520295,1.0699540288057192,0.532099509408324,-0.9171577847443166,0.44586061658856824,0.47528848258413714,-0.7429473167857497,-0.33592191107116665,-1.0962171868185004
2018,-1.0803544948247517,0.34563848723004004,-1.2728010247517514,-1.4606869620661689,0.13817854417065067,-0.5163725020700853,0.03935506972847158,2.468857354854864,0.7086170893151098,-0.3148795038514069,-0.8613377010512955,-0.7132354790235332
2019,0.41752673219446385,0.6160544462915721,-3.1479476767965124,-0.10458029178064543,0.23404591522011242,-2.3526778568980165,-0.9273460434197374,-0.0808653420600941,0.03166944266962543,0.33018271600705895,1.0804095044846875,-1.2830814460745914
2020,0.7569434747614006,1.4461378214762728,1.5303897069350632,0.6425169117985635,1.5079638559901394,1.333049527535365,2.1424993391418288,1.1476112278316095,0.4521719186300882,2.216546827883522,0.451506419325173,1.1170488372256049
