Years,D,J,F,M,A,M,J,J,A,S,O,N
1980,0.7634654101485362,-0.20730394050238418,-0.9861577988014268,0.7961315728037575,-0.3508163444764206,-1.0939208442113366,-0.41540871106018207,0.4547449079307047,-0.530582256517875,-0.15155984943907813,-1.0975825247283304,-0.7614428654245171
1981,-0.3449732905582987,-0.36369462676033815,1.7198860610675806,-0.4207156884742716,-0.3941463289282773,1.5370820795397182,0.9860436118289412,0.3423600692812171,0.2542356147111523,0.379161281610396,-0.24774341245033038,0.301827374404662
1982,0.5754751276947354,-0.5636370451026655,-1.43680745286125,0.6388796660963392,-0.41363956038497973,-1.289839088339813,-0.8671519122798779,-0.3007895275318709,-0.8262944770357421,-0.3617403552590365,-0.5265755202757543,0.04939573776610946
1983,0.6392150544019424,1.2539963729100754,1.8983970251438127,0.3393262282706319,0.9911369643734211,1.6963930087019683,0.7780652168755663,0.8247426239838285,0.3235015239519828,0.300417218350557,1.1047475288275,-0.1364216578959343
1984,-1.5429822664487574,0.5162866499272559,2.3003593895991594,-1.571439985360087,0.3343870052156982,2.1307112880408074,0.25254389450671355,0.9023917657817964,0.8084918687294251,-0.9439375648496252,-1.1917545276135053,0.42829027460900826
1985,0.26071831951314584,-2.600569443939536,0.7314394909442105,0.4468573330179549,-2.555081740967085,0.8081357891244142,0.6253598301829415,-0.3334520925204557,-0.27849939465169127,-0.6615553398059693,-0.2742836762012407,-2.1230422587506865
1986,-2.3088814809419675,1.258491212487003,-0.35705714373200814,-2.389827996012386,1.1076978534559379,-0.44705374550846577,-0.32864852587024873,-0.5975856638909338,0.9937416412830584,-1.5719836873963944,-1.498093890023196,-1.60236757517868
1987,-0.09277049817689581,0.7810481634176047,-0.31289975256339436,-0.2981952635819187,0.5142434234748463,-0.27046358717019703,0.2501418569932965,-0.7622857067392044,-1.669061867207657,-0.6845238279237122,0.20404771464972626,-0.022247253165310343
1988,-0.5257550100718987,-0.4256718346445494,0.6173276594019232,-0.6566541347673144,-0.5954738346294001,0.43389436127671543,0.3949011744454348,0.5855997865673298,0.0625467750998126,-0.4528458391802495,0.6263164845095083,0.4574940300289726
1989,-0.6789537348204785,1.337856305956693,-2.6528498309869843,-0.6006905188670137,1.338600127007533,-2.330869019705442,0.3843829611866922,-0.7336377863160861,-1.8007122713579378,-0.29498847984085286,-0.19779542732470703,0.7489477371362617
1990,-2.885929609952482,0.7517809933379098,0.09814153364042033,-2.895988909495281,0.7058372964943399,0.16373193332813307,0.5656042463538156,-1.1635178908316588,0.08262853397871661,0.7679051856453378,1.2237767383257299,0.5120152762189737
1991,0.8765892077760906,-1.33230200237849,-0.06837130483133969,1.0649824517315285,-1.3905252763830407,-0.11148526240781959,-1.1981662393226757,-0.9364710206989929,0.0811787275899638,-0.4027328188286167,0.2298213967022027,0.9904556596242978
1992,0.9516012803313335,0.6347378511392461,-0.6498124846358224,0.7851743764672225,0.4612970521463732,-0.7254368148733021,-0.026698422296262285,-2.085945285192971,-0.37460792914001706,1.61356148839259,1.08524733510867,-1.1376313215444096
1993,0.12112920267514446,0.29488224976504507,-0.09400166773279384,0.12516724024319803,0.2428942382029443,-0.3080223869200651,-0.9540395590878409,-1.3320796536614634,0.30804082250700515,-0.4018795311643688,-0.705993314590466,-0.5997464537029691
1994,0.7151483057849183,-1.2923006072610452,-0.993030851248579,0.6020818252443775,-1.189306871719589,-0.997824933298671,0.5094109433046682,-0.16574027764511162,-1.5254235001420666,0.37279993489261537,0.5388326679871737,0.029051893464443923
1995,1.2876378814161575,-0.21193364443666163,-1.2138847661058998,1.1625197537154317,-0.2530465475022334,-1.2485741391242935,-0.45488832116691275,-0.4351102596505554,0.017210140443275845,-0.753046653923836,0.7512663544576264,0.06509803656028856
1996,-0.4068362897212722,0.31967042503761306,1.59737702555922,-0.46718171185945156,0.23107172397942882,1.6037497909328096,0.2774029578544944,0.49619251584745544,1.5108190552204472,-0.4145390592293889,0.4700251799527642,-0.7891395630006679
1997,1.1901729286466323,0.08699581239816334,-0.7954286155225863,1.334173801697221,-0.025057121335215204,-0.8775298634379267,-0.062433808765510246,-0.43220205167584097,-0.6368580906744392,-0.4112249789558955,0.19835610810403081,-1.0951185430177683
1998,0.1552562722509081,0.692525841943471,1.5028852521731428,-0.048329493372055166,0.4692501835104057,1.5181149678700614,-0.5716322096885509,-0.007542612895597656,0.6507763078389575,-0.35041805664309766,-0.5995662136273547,-0.8293734753205626
1999,-0.9320822481870918,1.2483994572780195,3.009000077378463,-0.9825679377150172,1.1714360435378475,2.8785182698478375,0.9531803851835798,-0.8652375750057452,-0.35642647175960984,1.1544988809495471,-0.06463910711468757,0.9171123112975752
2000,0.9236512883674346,1.6336530729488852,0.25792929562372635,0.8171259717585669,1.7102812094778967,0.16647580445277738,-0.3325110760950868,0.5176370107307892,0.5793779765586112,-0.07292927175973551,0.5016698881318864,0.27893374977074953
